id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target
28,Female,Loyal Customer,40,Business travel,Business,3790,0,5,0,2,2,5,4,1,1,1,1,4,1,3,11,0.0,1
29,Female,disloyal Customer,18,Business travel,Eco,2656,1,1,1,3,5,1,5,5,4,4,5,5,4,5,0,0.0,0
30,Female,Loyal Customer,33,Business travel,Business,3213,2,2,3,2,5,4,5,5,5,5,5,5,5,5,4,0.0,1
31,Male,Loyal Customer,24,Business travel,Business,3411,5,5,5,5,3,4,3,3,5,2,4,3,5,3,76,73.0,1
32,Male,Loyal Customer,27,Personal Travel,Eco,1858,2,1,2,2,4,2,4,4,2,4,3,4,2,4,3,2.0,0
33,Male,Loyal Customer,66,Business travel,Business,3871,3,3,3,3,3,3,3,2,2,2,2,4,2,3,0,0.0,1
34,Male,Loyal Customer,20,Personal Travel,Eco,2812,3,5,3,3,2,3,2,2,1,3,1,1,3,2,0,0.0,0
35,Male,disloyal Customer,29,Business travel,Business,3839,1,2,2,5,2,2,2,2,4,3,4,4,5,2,15,0.0,0
36,Female,Loyal Customer,29,Business travel,Business,3073,2,2,2,2,4,4,4,4,4,2,5,3,4,4,91,65.0,1
37,Male,disloyal Customer,21,Business travel,Eco,2710,3,3,3,4,3,5,5,3,2,3,4,5,1,5,345,350.0,0
38,Male,Loyal Customer,36,Business travel,Eco,2069,4,1,1,1,4,4,4,4,3,3,2,3,5,4,0,0.0,1
39,Female,Loyal Customer,58,Personal Travel,Eco,666,5,2,4,4,2,3,4,4,4,4,4,2,4,1,0,7.0,1
40,Female,Loyal Customer,7,Personal Travel,Eco,1832,4,4,4,4,4,4,3,4,4,4,4,1,4,3,12,9.0,1
41,Female,Loyal Customer,43,Personal Travel,Eco,52,4,4,4,4,4,4,5,5,5,5,5,3,5,5,0,0.0,1
42,Male,Loyal Customer,59,Personal Travel,Eco,1672,3,0,3,3,2,3,2,2,3,2,5,3,4,2,0,0.0,0
43,Female,Loyal Customer,50,Business travel,Business,3043,1,1,1,1,2,5,4,4,4,4,4,4,4,3,1,16.0,1
44,Male,Loyal Customer,34,Personal Travel,Business,551,2,4,2,1,5,4,4,1,1,2,1,4,1,4,0,0.0,0
45,Male,Loyal Customer,33,Personal Travel,Eco,1636,2,5,2,3,1,2,1,1,3,5,4,4,4,1,0,3.0,0
46,Female,Loyal Customer,63,Personal Travel,Eco Plus,524,5,5,5,5,3,4,5,3,3,5,3,4,3,4,9,0.0,1
47,Female,Loyal Customer,62,Business travel,Business,332,2,2,2,2,4,1,2,5,5,5,5,3,5,4,0,0.0,1
48,Female,Loyal Customer,58,Personal Travel,Eco,488,4,4,4,4,2,4,5,5,5,5,5,3,5,4,0,0.0,1
49,Male,Loyal Customer,68,Business travel,Eco,1556,5,2,2,2,5,5,5,5,4,5,3,5,3,5,0,0.0,1
50,Male,Loyal Customer,17,Personal Travel,Eco,2380,2,3,3,4,5,3,5,5,3,5,3,2,3,5,0,0.0,0
51,Male,Loyal Customer,54,Personal Travel,Eco,1423,4,4,5,4,5,5,5,5,5,3,4,4,5,5,5,4.0,1
52,Male,Loyal Customer,33,Business travel,Business,1969,1,2,2,2,1,1,1,1,2,4,3,2,3,1,11,52.0,0
53,Female,Loyal Customer,44,Personal Travel,Eco,323,4,4,2,1,2,2,2,3,3,2,3,4,3,2,0,0.0,0
54,Female,Loyal Customer,51,Business travel,Business,975,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0.0,1
55,Male,Loyal Customer,43,Business travel,Business,971,2,2,2,2,3,4,2,5,5,5,5,5,5,2,0,0.0,1
56,Male,Loyal Customer,35,Personal Travel,Business,361,1,4,1,4,4,5,5,3,3,1,1,5,3,5,0,0.0,0
57,Female,Loyal Customer,26,Personal Travel,Eco Plus,2185,1,1,1,1,5,5,5,5,5,4,4,3,4,5,30,26.0,1
58,Female,Loyal Customer,11,Personal Travel,Eco Plus,2177,5,5,5,5,4,4,4,3,3,4,3,5,3,3,45,36.0,1
59,Female,Loyal Customer,52,Business travel,Business,3681,3,3,3,3,3,4,5,4,4,4,4,4,4,5,0,2.0,1
60,Female,Loyal Customer,47,Personal Travel,Eco Plus,1017,3,5,4,3,5,5,5,5,5,4,5,5,5,4,33,38.0,0
61,Male,disloyal Customer,44,Business travel,Business,2614,3,3,3,3,5,3,5,5,3,5,5,4,4,5,0,0.0,0
62,Male,Loyal Customer,55,Business travel,Business,674,1,2,2,2,3,3,3,1,1,1,1,1,1,3,0,1.0,0
63,Female,Loyal Customer,36,Business travel,Business,394,4,1,4,4,5,4,4,4,4,4,4,4,4,3,43,43.0,1
64,Female,disloyal Customer,28,Business travel,Eco,1959,3,3,3,3,2,3,5,2,3,3,3,4,2,2,0,1.0,0
65,Female,disloyal Customer,17,Business travel,Eco Plus,1260,1,0,1,4,4,1,4,4,2,2,4,4,4,4,0,0.0,0
66,Female,disloyal Customer,37,Business travel,Eco,2662,1,1,1,1,1,4,4,2,4,3,4,4,4,4,0,13.0,0
67,Male,Loyal Customer,31,Personal Travel,Eco Plus,3352,3,5,4,3,4,2,1,4,4,5,5,1,3,1,469,443.0,0
68,Male,Loyal Customer,9,Personal Travel,Eco,1947,3,5,3,3,1,3,1,1,5,3,4,4,4,1,0,4.0,0
69,Female,Loyal Customer,50,Business travel,Business,578,2,2,2,2,3,5,4,3,3,3,3,3,3,4,0,0.0,1
70,Female,Loyal Customer,45,Personal Travel,Eco,1888,1,1,1,1,5,5,5,4,4,4,4,3,4,5,0,0.0,1
71,Female,Loyal Customer,69,Personal Travel,Eco,714,1,1,1,1,2,5,5,5,5,5,5,5,5,3,10,2.0,1
72,Female,disloyal Customer,34,Business travel,Eco,1520,1,0,1,1,3,1,3,3,2,1,4,2,4,3,6,0.0,0
73,Male,Loyal Customer,31,Business travel,Business,3985,4,4,4,4,5,5,5,5,4,3,4,4,4,5,0,0.0,1
74,Male,Loyal Customer,67,Business travel,Business,1135,1,5,3,5,1,3,4,1,1,1,1,3,1,4,5,14.0,0
75,Male,Loyal Customer,31,Business travel,Business,3362,5,5,5,5,4,4,4,4,4,4,5,4,4,4,11,13.0,1
76,Male,disloyal Customer,23,Business travel,Eco,1114,1,1,1,3,4,1,4,4,1,1,4,3,3,4,4,1.0,0
77,Female,Loyal Customer,37,Business travel,Eco Plus,1141,1,1,1,1,1,1,1,1,3,3,3,3,3,1,0,7.0,0
78,Male,Loyal Customer,23,Business travel,Business,4848,3,3,2,3,5,5,5,5,4,4,5,5,4,5,0,0.0,1
79,Male,Loyal Customer,59,Business travel,Business,2608,1,3,3,3,1,1,1,1,1,4,3,1,4,1,83,116.0,0
80,Female,Loyal Customer,38,Business travel,Business,2101,2,3,3,3,2,3,3,2,2,2,2,2,2,1,0,0.0,0
81,Male,Loyal Customer,7,Personal Travel,Eco,1657,2,3,2,1,2,2,2,2,5,1,4,4,3,2,0,18.0,0
82,Male,Loyal Customer,31,Business travel,Business,2895,4,4,4,4,4,4,4,4,5,2,5,5,4,4,0,5.0,1
83,Male,Loyal Customer,52,Personal Travel,Eco,1832,2,5,0,3,2,0,1,2,5,2,5,3,5,2,67,76.0,0
84,Male,Loyal Customer,34,Personal Travel,Eco,1979,3,5,3,3,2,3,4,2,5,3,5,4,5,2,23,8.0,0
85,Male,Loyal Customer,46,Business travel,Business,945,4,4,4,4,2,1,2,4,4,4,4,3,4,4,0,0.0,1
86,Male,Loyal Customer,29,Business travel,Business,3701,5,5,5,5,4,4,4,4,4,2,5,3,3,4,40,37.0,1
87,Female,Loyal Customer,34,Business travel,Business,3761,0,5,0,3,5,2,4,3,3,3,3,4,3,2,0,0.0,1
88,Male,Loyal Customer,45,Personal Travel,Eco,2813,3,5,3,5,4,3,4,4,3,5,3,5,5,4,0,10.0,0
89,Female,Loyal Customer,24,Business travel,Business,3252,3,3,3,3,4,4,4,4,5,1,5,4,1,4,0,0.0,1
90,Female,Loyal Customer,67,Personal Travel,Eco,476,4,4,4,4,4,4,5,4,4,4,4,3,4,4,13,0.0,1
91,Male,Loyal Customer,39,Business travel,Business,1237,2,2,2,2,5,5,4,5,5,4,5,3,5,5,0,0.0,1
92,Male,disloyal Customer,41,Business travel,Business,2213,5,5,5,2,1,5,1,1,5,5,5,3,5,1,0,0.0,1
93,Male,disloyal Customer,25,Business travel,Eco,2079,2,3,2,3,5,2,1,5,1,3,3,2,4,5,51,60.0,0
94,Male,Loyal Customer,32,Personal Travel,Eco,2030,4,3,4,4,5,4,4,5,2,2,3,4,3,5,4,5.0,0
95,Female,Loyal Customer,45,Business travel,Business,580,4,4,4,4,4,4,5,2,2,2,2,5,2,5,0,0.0,1
96,Male,Loyal Customer,68,Personal Travel,Eco,2510,2,4,2,3,4,2,4,4,4,4,4,4,4,4,0,8.0,0
97,Male,Loyal Customer,55,Business travel,Business,608,3,3,3,3,4,4,4,4,4,4,4,5,4,5,0,0.0,1
98,Male,disloyal Customer,36,Business travel,Business,2013,3,3,3,3,3,3,3,3,3,2,4,3,4,3,0,9.0,0
99,Female,Loyal Customer,34,Personal Travel,Eco,1220,4,4,4,4,4,4,5,4,4,4,4,3,4,4,0,0.0,1
100,Male,disloyal Customer,22,Business travel,Eco,2379,3,1,3,3,2,3,5,2,3,4,3,1,4,2,0,0.0,0
101,Male,Loyal Customer,55,Business travel,Business,362,0,0,0,3,2,5,5,2,2,2,2,3,2,3,10,9.0,1
102,Female,Loyal Customer,42,Personal Travel,Eco,1260,4,4,4,3,2,2,4,5,5,4,5,1,5,2,0,0.0,1
103,Male,Loyal Customer,44,Personal Travel,Eco,1697,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,0.0,1
104,Female,Loyal Customer,43,Business travel,Eco,440,4,4,4,4,3,3,3,4,4,4,4,1,4,3,0,15.0,0
105,Male,Loyal Customer,24,Personal Travel,Eco,2132,4,4,4,3,2,4,2,2,3,4,4,5,4,2,0,0.0,0
106,Male,Loyal Customer,25,Business travel,Business,3730,3,1,1,1,3,3,3,3,4,5,4,2,4,3,0,15.0,0
107,Female,Loyal Customer,44,Personal Travel,Eco,1397,4,4,4,4,4,4,5,5,5,5,5,3,5,3,30,27.0,1
108,Male,Loyal Customer,53,Personal Travel,Eco,2111,2,4,2,2,5,2,5,5,5,3,4,3,4,5,0,0.0,0
109,Female,Loyal Customer,40,Business travel,Business,89,5,5,5,5,3,4,4,4,4,4,5,4,4,3,0,0.0,1
110,Female,Loyal Customer,12,Personal Travel,Eco Plus,1488,4,3,4,3,1,4,5,1,2,2,4,3,4,1,0,7.0,0
111,Male,Loyal Customer,47,Business travel,Business,3270,2,2,2,2,2,4,4,2,2,2,2,5,2,3,0,7.0,1
112,Male,Loyal Customer,48,Business travel,Business,242,2,2,2,2,3,4,4,4,4,5,5,4,4,5,0,0.0,1
113,Female,Loyal Customer,39,Business travel,Business,1028,4,2,4,4,2,3,3,4,4,4,4,1,4,4,0,0.0,0
114,Male,Loyal Customer,60,Business travel,Business,250,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0.0,1
115,Female,Loyal Customer,41,Business travel,Eco,2333,1,2,2,2,1,1,1,1,3,5,2,2,2,1,0,25.0,0
116,Male,Loyal Customer,35,Personal Travel,Eco,2051,5,5,5,4,2,5,2,2,3,5,4,4,5,2,2,3.0,1
117,Male,Loyal Customer,37,Personal Travel,Eco,2375,2,4,2,1,2,3,3,5,2,4,4,3,3,3,215,203.0,0
118,Male,disloyal Customer,33,Business travel,Business,1914,1,1,1,1,3,1,3,3,4,5,5,3,5,3,0,0.0,0
119,Female,Loyal Customer,68,Personal Travel,Eco,1169,4,4,4,4,5,4,4,4,4,4,4,3,4,3,18,13.0,1
120,Female,disloyal Customer,41,Business travel,Business,2943,3,3,3,1,2,3,2,2,4,2,5,5,4,2,0,0.0,0
121,Male,Loyal Customer,57,Business travel,Business,2837,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0.0,1
122,Female,Loyal Customer,34,Business travel,Eco Plus,2992,0,0,0,3,2,0,2,2,5,5,4,4,5,2,3,14.0,1
123,Female,Loyal Customer,60,Business travel,Business,1690,3,3,3,3,5,5,4,5,5,5,5,3,5,5,0,0.0,1
124,Female,Loyal Customer,58,Business travel,Business,3632,2,2,2,2,4,4,4,4,4,4,4,5,4,3,0,0.0,1
125,Female,Loyal Customer,63,Personal Travel,Eco Plus,584,1,1,1,1,4,4,4,4,4,3,5,3,4,4,17,19.0,1
126,Male,Loyal Customer,36,Business travel,Eco,1669,2,3,3,3,2,2,2,2,2,3,4,3,3,2,0,0.0,0
127,Female,Loyal Customer,34,Personal Travel,Eco,2253,4,4,4,4,3,5,5,5,5,5,5,3,5,4,23,28.0,1
128,Female,Loyal Customer,28,Business travel,Business,3541,1,1,1,1,2,2,2,2,3,5,5,4,2,2,0,0.0,1
129,Female,Loyal Customer,22,Business travel,Business,1516,1,0,0,4,3,0,3,3,1,5,3,1,3,3,0,0.0,0
130,Male,disloyal Customer,50,Business travel,Eco,1295,2,2,2,4,5,2,5,5,4,1,3,4,3,5,0,0.0,0
131,Female,Loyal Customer,11,Business travel,Eco Plus,2648,2,2,2,2,2,2,2,2,3,4,2,3,4,2,22,10.0,0
132,Female,Loyal Customer,19,Business travel,Eco Plus,1680,2,4,3,4,2,2,3,2,3,2,3,2,4,2,0,0.0,0
133,Female,disloyal Customer,25,Business travel,Eco Plus,2318,2,3,2,3,5,2,5,5,2,2,3,4,3,5,32,32.0,0
134,Male,Loyal Customer,80,Business travel,Eco,1732,5,1,1,1,4,5,4,4,4,5,4,5,2,4,0,0.0,1
135,Male,Loyal Customer,55,Personal Travel,Eco,2115,2,2,2,3,3,2,3,3,3,4,2,4,3,3,27,50.0,0
136,Female,disloyal Customer,41,Business travel,Business,2570,1,1,1,3,4,1,4,4,4,3,5,3,4,4,7,4.0,0
137,Male,Loyal Customer,38,Business travel,Business,1648,3,1,3,3,4,4,3,3,3,3,3,2,3,1,20,13.0,0
138,Male,Loyal Customer,27,Business travel,Business,2634,1,3,3,3,2,2,1,2,4,2,3,4,3,2,25,40.0,0
139,Male,Loyal Customer,39,Business travel,Business,265,4,4,4,4,2,5,4,5,5,4,5,4,5,4,4,5.0,1
140,Male,Loyal Customer,37,Business travel,Business,2275,4,4,4,4,2,3,3,4,4,4,4,1,4,5,0,0.0,1
141,Male,Loyal Customer,46,Business travel,Business,2239,4,4,4,4,2,4,4,5,5,4,5,5,5,4,0,0.0,1
142,Female,Loyal Customer,58,Business travel,Business,642,1,1,1,1,5,5,5,3,3,4,3,3,3,5,0,0.0,1
143,Female,Loyal Customer,58,Business travel,Business,677,2,2,2,2,4,4,4,4,4,4,4,5,4,5,14,0.0,1
144,Female,Loyal Customer,12,Personal Travel,Eco,2503,4,4,4,3,4,5,4,5,5,4,5,5,5,5,0,0.0,1
145,Female,Loyal Customer,12,Personal Travel,Eco,1714,5,5,5,5,3,4,5,5,5,5,5,4,5,4,0,3.0,1
146,Female,Loyal Customer,41,Business travel,Business,1629,0,5,0,2,3,5,5,2,2,2,2,5,2,4,0,0.0,1
147,Female,Loyal Customer,24,Business travel,Business,1951,3,3,3,3,5,5,5,5,3,4,4,4,4,5,0,0.0,1
148,Female,Loyal Customer,59,Personal Travel,Eco Plus,526,4,4,4,4,5,5,5,5,5,1,2,1,3,5,13,17.0,1
149,Female,Loyal Customer,26,Business travel,Business,2091,2,2,2,2,5,5,5,5,2,2,2,1,4,5,25,24.0,1
150,Female,Loyal Customer,31,Personal Travel,Eco,1508,1,1,1,1,5,3,5,3,3,4,3,4,3,4,0,0.0,1
151,Male,Loyal Customer,48,Business travel,Business,931,4,4,4,4,2,4,5,5,5,5,5,4,5,5,2,0.0,1
152,Male,Loyal Customer,22,Business travel,Business,2887,5,5,5,5,5,5,5,5,4,4,2,3,5,5,64,51.0,1
153,Male,Loyal Customer,43,Business travel,Business,1452,3,3,3,3,5,5,4,4,4,4,4,3,4,3,0,0.0,1
154,Male,Loyal Customer,60,Business travel,Business,2147,5,1,5,5,5,4,4,4,4,4,4,5,4,4,0,0.0,1
155,Female,Loyal Customer,54,Personal Travel,Eco,987,4,4,4,4,5,5,5,2,2,4,4,5,2,5,0,0.0,0
156,Male,Loyal Customer,45,Business travel,Business,2436,1,1,1,1,4,4,4,4,4,4,4,3,4,4,0,0.0,1
157,Female,Loyal Customer,48,Business travel,Business,3198,2,2,2,2,2,4,4,4,4,4,4,4,4,5,16,0.0,1
158,Male,Loyal Customer,36,Personal Travel,Eco,2592,4,2,4,3,3,4,3,3,3,1,4,2,4,3,2,0.0,0
159,Female,disloyal Customer,32,Business travel,Eco,1630,2,0,3,4,2,3,2,2,1,4,4,2,3,2,0,0.0,0
160,Male,Loyal Customer,32,Business travel,Eco Plus,2108,4,1,1,1,4,4,4,4,1,3,3,4,4,4,0,8.0,0
161,Male,Loyal Customer,35,Personal Travel,Eco,1148,3,4,3,4,3,3,3,3,4,3,4,3,5,3,58,65.0,0
162,Male,Loyal Customer,58,Business travel,Business,1933,2,1,1,1,5,3,3,2,2,2,2,2,2,1,34,26.0,0
163,Female,Loyal Customer,61,Business travel,Business,1804,4,4,4,4,5,5,5,3,5,4,3,5,1,5,242,228.0,1
164,Male,Loyal Customer,49,Business travel,Business,470,5,5,5,5,3,5,5,4,4,4,4,5,4,3,23,2.0,1
165,Female,Loyal Customer,72,Business travel,Business,76,5,5,5,5,3,4,4,5,5,5,4,4,5,3,0,0.0,1
166,Male,Loyal Customer,46,Business travel,Business,3077,4,4,4,4,3,5,5,5,5,5,5,5,5,3,0,0.0,1
167,Female,disloyal Customer,26,Business travel,Business,2003,2,2,2,4,2,2,2,2,4,3,5,4,5,2,0,0.0,0
168,Female,Loyal Customer,44,Business travel,Eco,472,3,4,4,4,5,2,2,3,3,3,3,3,3,1,1,0.0,0
169,Male,Loyal Customer,67,Personal Travel,Eco,3771,3,2,3,4,3,4,4,4,4,2,4,4,1,4,0,5.0,0
170,Female,Loyal Customer,34,Business travel,Business,1609,2,5,5,5,2,3,4,2,2,1,2,2,2,1,19,20.0,0
171,Female,Loyal Customer,48,Business travel,Eco Plus,978,3,1,1,1,2,3,3,2,2,3,2,3,2,3,34,19.0,1
172,Male,Loyal Customer,22,Personal Travel,Eco,2354,2,1,2,2,5,2,5,5,1,5,1,4,2,5,0,0.0,0
173,Female,Loyal Customer,68,Business travel,Eco Plus,679,5,3,3,3,3,1,4,5,5,5,5,5,5,5,26,12.0,1
174,Female,Loyal Customer,47,Business travel,Business,3239,3,4,4,4,2,3,4,3,3,3,3,4,3,1,0,0.0,0
175,Male,Loyal Customer,67,Personal Travel,Eco,2707,3,2,3,3,4,3,3,4,2,3,3,3,3,4,8,5.0,0
176,Female,Loyal Customer,41,Business travel,Business,3673,2,2,2,2,5,4,1,5,5,5,5,1,5,1,50,35.0,1
177,Male,Loyal Customer,40,Business travel,Business,2714,4,4,4,4,2,4,4,4,4,5,4,4,4,5,0,1.0,1
178,Male,disloyal Customer,35,Business travel,Business,4076,3,3,3,3,3,3,3,4,3,5,5,3,5,3,0,0.0,0
179,Male,Loyal Customer,43,Business travel,Business,1069,3,1,1,1,2,3,3,3,3,3,3,1,3,3,24,5.0,0
180,Female,Loyal Customer,16,Personal Travel,Eco,2494,2,2,2,2,3,4,4,5,5,4,5,5,5,3,21,9.0,1
181,Female,disloyal Customer,22,Business travel,Eco,1852,4,0,4,1,1,4,1,1,5,3,4,3,5,1,0,69.0,0
182,Male,Loyal Customer,54,Personal Travel,Eco,2686,4,1,4,4,2,4,2,2,1,2,4,1,4,2,20,7.0,0
183,Female,Loyal Customer,38,Business travel,Business,62,4,1,4,4,3,3,2,4,4,4,4,4,4,4,0,0.0,1
184,Female,Loyal Customer,33,Business travel,Eco,1057,4,2,5,2,5,5,5,5,3,2,1,3,4,5,4,0.0,1
185,Male,disloyal Customer,37,Business travel,Business,1592,3,3,3,4,4,3,4,4,3,2,5,5,4,4,0,0.0,0
186,Female,Loyal Customer,39,Business travel,Eco,2297,3,2,2,2,3,3,3,3,4,3,4,3,3,3,6,6.0,0
187,Male,Loyal Customer,53,Business travel,Business,316,5,5,5,5,5,5,4,4,4,4,4,5,4,3,0,6.0,1
188,Male,disloyal Customer,20,Business travel,Eco,1468,4,0,4,5,2,4,2,2,4,4,5,3,5,2,0,0.0,0
189,Female,Loyal Customer,39,Personal Travel,Eco,1748,5,5,5,5,3,5,1,5,5,5,5,5,5,2,11,7.0,1
190,Male,Loyal Customer,43,Business travel,Business,2777,4,4,4,4,5,5,5,5,5,5,5,5,5,5,0,0.0,1
191,Female,Loyal Customer,26,Business travel,Business,4862,1,2,2,2,1,1,1,1,3,3,4,2,4,1,0,0.0,0
192,Female,disloyal Customer,43,Business travel,Eco,2109,5,0,5,5,1,5,1,1,3,5,3,1,5,1,0,0.0,1
193,Female,Loyal Customer,7,Personal Travel,Eco,2165,5,5,5,5,3,1,4,4,4,4,5,5,4,5,0,0.0,1
194,Female,Loyal Customer,48,Business travel,Business,1954,3,3,3,3,2,4,5,5,5,5,4,4,5,5,28,25.0,1
195,Male,Loyal Customer,27,Business travel,Business,3571,1,5,5,5,1,1,1,1,4,3,2,4,4,1,25,2.0,0
196,Female,disloyal Customer,32,Business travel,Business,1349,4,4,4,2,4,4,4,4,3,2,4,4,4,4,12,4.0,0
197,Male,Loyal Customer,61,Personal Travel,Eco,2039,4,4,4,3,5,4,5,5,3,2,4,2,3,5,1,0.0,0
198,Female,Loyal Customer,11,Personal Travel,Eco,2304,4,5,4,4,1,4,1,1,5,3,3,2,2,1,10,4.0,0
199,Male,Loyal Customer,14,Personal Travel,Business,2842,3,4,3,1,3,2,2,2,5,1,1,2,2,2,142,141.0,0
200,Male,Loyal Customer,34,Personal Travel,Eco,2139,0,3,0,3,1,0,1,1,1,3,3,1,4,1,0,0.0,1
201,Male,disloyal Customer,21,Business travel,Eco,2059,5,0,5,4,5,5,5,5,4,4,5,5,5,5,0,0.0,1
202,Female,Loyal Customer,43,Personal Travel,Eco,429,5,5,2,5,5,4,5,5,5,4,5,3,5,4,0,0.0,1
203,Female,disloyal Customer,15,Business travel,Eco,1886,3,2,3,3,3,3,3,3,2,1,4,3,4,3,64,89.0,0
204,Female,disloyal Customer,24,Business travel,Eco,2852,3,2,2,2,3,3,3,1,5,3,4,3,1,3,0,0.0,1
205,Male,Loyal Customer,48,Business travel,Business,346,0,0,0,4,3,4,4,2,2,2,2,5,2,4,0,2.0,1
206,Female,Loyal Customer,36,Business travel,Business,1693,5,5,5,5,3,4,4,2,2,2,2,3,2,5,2,8.0,1
207,Male,disloyal Customer,37,Business travel,Business,3515,1,1,1,3,3,1,1,3,4,5,4,4,5,3,52,61.0,0
208,Female,Loyal Customer,54,Business travel,Business,2981,3,3,3,3,5,3,1,5,5,5,5,3,5,4,0,0.0,1
209,Female,Loyal Customer,32,Business travel,Business,2289,3,3,5,3,5,5,5,5,4,2,5,5,4,5,0,0.0,1
210,Female,Loyal Customer,59,Business travel,Business,906,4,4,4,4,5,5,4,5,5,5,5,5,5,3,0,0.0,1
211,Male,disloyal Customer,38,Business travel,Business,1649,5,5,5,4,1,5,1,1,3,3,5,4,5,1,0,0.0,1
212,Male,Loyal Customer,32,Business travel,Eco,3345,5,4,4,4,5,5,5,5,5,2,2,3,4,5,0,0.0,1
213,Male,Loyal Customer,8,Personal Travel,Eco,2474,2,5,2,2,2,2,2,2,4,2,5,4,4,2,0,10.0,0
214,Male,Loyal Customer,43,Business travel,Business,1023,1,1,4,1,3,4,4,5,5,5,5,4,5,5,0,0.0,1
215,Female,Loyal Customer,46,Business travel,Eco,313,4,2,2,2,1,5,5,4,4,4,4,4,4,1,79,69.0,1
216,Male,Loyal Customer,36,Business travel,Business,2814,1,1,1,1,1,1,5,4,4,4,5,2,4,1,0,12.0,1
